idx,v0_x,v0_y,v1_x,v1_y,order
7,-8.428159517424493,-12.993613450287821,-8.339938798522525,-13.9054450654054,18
7,-8.428159517424493,-12.993613450287821,-7.886409957316857,-14.633216104608776,18
7,-8.428159517424493,-12.993613450287821,-8.874702090407624,-15.102009308169475,18
7,-8.428159517424493,-12.993613450287821,-10.693004664127095,-12.073025159482917,18
7,-8.428159517424493,-12.993613450287821,-5.623784931739635,-13.186842385231827,18
7,-8.428159517424493,-12.993613450287821,-11.288293459554897,-13.718659858851852,18
8,-7.886409957316857,-14.633216104608776,-8.339938798522525,-13.9054450654054,
8,-7.886409957316857,-14.633216104608776,-8.874702090407624,-15.102009308169475,
8,-7.886409957316857,-14.633216104608776,-8.428159517424493,-12.993613450287821,
8,-7.886409957316857,-14.633216104608776,-8.909316977546776,-13.025181747454187,
8,-7.886409957316857,-14.633216104608776,-5.623784931739635,-13.186842385231827,
8,-7.886409957316857,-14.633216104608776,-11.288293459554897,-13.718659858851852,
8,-7.886409957316857,-14.633216104608776,-4.200038271274064,-13.755790402746834,
9,27.348233625005697,18.282482832894132,27.834986783349983,17.746984881304712,3
9,27.348233625005697,18.282482832894132,25.39578527588916,17.226886654591496,3
9,27.348233625005697,18.282482832894132,28.502099231491904,14.636756315619266,3
9,27.348233625005697,18.282482832894132,28.447062772687552,22.556682454115297,3
9,27.348233625005697,18.282482832894132,26.57699883049373,12.597105407921646,3
9,27.348233625005697,18.282482832894132,25.504651243158577,24.2007197063394,3
9,27.348233625005697,18.282482832894132,26.651399324718263,24.722459461275633,3
10,27.05359458774138,-18.263445121526946,27.209359326457793,-13.82109910160502,
10,27.05359458774138,-18.263445121526946,28.545650618260844,-23.4208204403014,
10,27.05359458774138,-18.263445121526946,25.494849639848795,-24.00042579612783,
10,27.05359458774138,-18.263445121526946,22.30179305039764,-14.314786452040135,
10,27.05359458774138,-18.263445121526946,22.17276353275686,-12.801766081446601,
10,27.05359458774138,-18.263445121526946,26.087899489220305,-26.947339107103886,
10,27.05359458774138,-18.263445121526946,26.69668192810962,-8.726637861490108,
11,14.916459791187023,-14.220031791226653,15.062419744774111,-13.148277237448749,
11,14.916459791187023,-14.220031791226653,13.249034753775327,-13.839288352825635,
11,14.916459791187023,-14.220031791226653,12.336091698516327,-14.465098206304353,
11,14.916459791187023,-14.220031791226653,11.628539991424262,-13.074137234661062,
11,14.916459791187023,-14.220031791226653,12.579255300378883,-16.935809508376316,
11,14.916459791187023,-14.220031791226653,11.725768398565684,-12.35949902021446,
11,14.916459791187023,-14.220031791226653,11.596430495940993,-16.348581663020834,
12,27.209359326457793,-13.82109910160502,27.05359458774138,-18.263445121526946,
12,27.209359326457793,-13.82109910160502,22.30179305039764,-14.314786452040135,
12,27.209359326457793,-13.82109910160502,26.69668192810962,-8.726637861490108,
12,27.209359326457793,-13.82109910160502,22.17276353275686,-12.801766081446601,
12,27.209359326457793,-13.82109910160502,28.506310913253067,-8.397776610189386,
12,27.209359326457793,-13.82109910160502,24.232005511819864,-7.973610810472017,
12,27.209359326457793,-13.82109910160502,19.79141664312128,-10.746368603017334,
13,20.342616178319403,-24.81969779576369,18.65246984049577,-25.712643354407135,
13,20.342616178319403,-24.81969779576369,23.29314014200596,-28.236368447162263,
13,20.342616178319403,-24.81969779576369,15.655508630292587,-24.486829281197956,
13,20.342616178319403,-24.81969779576369,26.087899489220305,-26.947339107103886,
13,20.342616178319403,-24.81969779576369,12.46407036652937,-23.332664050763228,
13,20.342616178319403,-24.81969779576369,28.669845806773615,-28.748249587248566,
13,20.342616178319403,-24.81969779576369,8.202392775296829,-26.247156845596905,
14,28.436220048506463,28.247093685912425,26.953205146594335,28.54997344504043,
14,28.436220048506463,28.247093685912425,26.811584659971878,27.21381520908269,
14,28.436220048506463,28.247093685912425,27.767160088488573,24.92687170145249,
14,28.436220048506463,28.247093685912425,26.651399324718263,24.722459461275633,
14,28.436220048506463,28.247093685912425,24.569177674226466,26.85743166871162,
14,28.436220048506463,28.247093685912425,23.642635545600456,28.191264781447373,
14,28.436220048506463,28.247093685912425,25.504651243158577,24.2007197063394,
