time,x,y,theta,Vx,Vy,Vlin,Vang,grad_atr_pot_x,grad_atr_pot_y,targ_cell_row,targ_cell_col
115600000000,24.74519466585607,16.99972352722217,0.0006418053085871,0.6370133353598284,0.0006911819445765133,0.6370136477666709,0.0005646865800315002,-1.2740266707196568,-0.0013823638891530265,11,32
115700000000,24.833895802206122,16.999949224791926,0.0009793426489885296,0.41526049448469493,0.000126938020184042,0.4152604196598412,-0.0005594885767395842,-0.8305209889693899,-0.000253876040368084,11,32
115700000000,24.833895802206122,16.999949224791926,0.0009793426489885296,0.41526049448469493,0.000126938020184042,0.4152604196598412,-0.0005594885767395842,-0.8305209889693899,-0.000253876040368084,11,32
115800000000,24.897597107986165,17.000039844559943,0.0010358113069916799,0.25600723003458725,-9.961139985747991e-05,0.25600698952027695,-0.0007295729650883576,-0.5120144600691745,0.00019922279971495982,11,32
115800000000,24.897597107986165,17.000039844559943,0.0010358113069916799,0.25600723003458725,-9.961139985747991e-05,0.25600698952027695,-0.0007295729650883576,-0.5120144600691745,0.00019922279971495982,11,32
115900000000,24.93912315586906,17.00005488328143,0.0009798624493177214,5.152192110327354,-0.00013720820357221442,5.15218950249422,-0.010371293820848212,-10.304384220654708,0.00027441640714442883,11,33
115900000000,24.93912315586906,17.00005488328143,0.0009798624493177214,5.152192110327354,-0.00013720820357221442,5.15218950249422,-0.010371293820848212,-10.304384220654708,0.00027441640714442883,11,33
116000000000,24.96472387694444,17.00004348980898,0.0009069051528088857,5.0881903076389,-0.00010872452245180853,5.088188116576589,-0.009446459707311871,-10.1763806152778,0.00021744904490361705,11,33
116000000000,24.96472387694444,17.00004348980898,0.0009069051528088857,5.0881903076389,-0.00010872452245180853,5.088188116576589,-0.009446459707311871,-10.1763806152778,0.00021744904490361705,11,33
116100000000,25.064724037200232,16.999615615683126,-0.00013022422927593593,4.838189906999419,0.0009609607921845509,4.838189740835183,0.0031820206679704817,-9.676379813998839,-0.0019219215843691018,11,33
116100000000,25.064724037200232,16.999615615683126,-0.00013022422927593593,4.838189906999419,0.0009609607921845509,4.838189740835183,0.0031820206679704817,-9.676379813998839,-0.0019219215843691018,11,33
116200000000,25.164723751755442,16.999130270378174,-0.0010748702000071232,4.588190620611394,0.002174324054564636,4.588185633022249,0.01421206243785108,-9.176381241222789,-0.004348648109129272,11,33
116200000000,25.164723751755442,16.999130270378174,-0.0010748702000071232,4.588190620611394,0.002174324054564636,4.588185633022249,0.01421206243785108,-9.176381241222789,-0.004348648109129272,11,33
116300000000,25.26472383968795,16.999181884344882,-0.000756668133210075,4.338190400780126,0.0020452891377953364,4.338187611266999,0.010655717342228688,-8.676380801560253,-0.004090578275590673,11,33
116300000000,25.26472383968795,16.999181884344882,-0.000756668133210075,4.338190400780126,0.0020452891377953364,4.338187611266999,0.010655717342228688,-8.676380801560253,-0.004090578275590673,11,33
116400000000,25.364723843794557,16.999816820600117,0.0006645381105750331,4.088190390513606,0.0004579484997080385,4.088189792143129,-0.004517619438468116,-8.176380781027213,-0.000915896999416077,11,33
116400000000,25.364723843794557,16.999816820600117,0.0006645381105750331,4.088190390513606,0.0004579484997080385,4.088189792143129,-0.004517619438468116,-8.176380781027213,-0.000915896999416077,11,33
116500000000,25.464723183796902,17.000416059866293,0.001730109844797902,3.838192040507744,-0.0010401496657319598,3.8381844965450185,-0.015361277263401914,-7.676384081015488,0.0020802993314639195,11,33
116500000000,25.464723183796902,17.000416059866293,0.001730109844797902,3.838192040507744,-0.0010401496657319598,3.8381844965450185,-0.015361277263401914,-7.676384081015488,0.0020802993314639195,11,33
116600000000,25.564723373909484,17.00036319005001,0.0012783479009510898,3.588191565226291,-0.000907975125024052,3.588187472655385,-0.010989860578866898,-7.176383130452582,0.001815950250048104,11,33
116600000000,25.564723373909484,17.00036319005001,0.0012783479009510898,3.588191565226291,-0.000907975125024052,3.588187472655385,-0.010989860578866898,-7.176383130452582,0.001815950250048104,11,33
116700000000,25.6647236841315,16.999722961117634,-0.00025777982538910133,3.3381907896712537,0.0006925972059157459,3.338190500221549,0.0031062308245014235,-6.676381579342507,-0.0013851944118314918,11,33
116700000000,25.6647236841315,16.999722961117634,-0.00025777982538910133,3.3381907896712537,0.0006925972059157459,3.338190500221549,0.0031062308245014235,-6.676381579342507,-0.0013851944118314918,11,33
116800000000,25.76472323721824,16.99914769031314,-0.0013567658832757913,3.088191906954396,0.002130774217148357,3.0881861736010294,0.012641448781693026,-6.176383813908792,-0.004261548434296714,11,33
116800000000,25.76472323721824,16.99914769031314,-0.0013567658832757913,3.088191906954396,0.002130774217148357,3.0881861736010294,0.012641448781693026,-6.176383813908792,-0.004261548434296714,11,33
116900000000,25.864723331777252,16.999167325194943,-0.0010461428008256488,2.838191670556869,0.0020816870126427744,2.8381879397360983,0.010101678230927695,-5.676383341113738,-0.004163374025285549,11,33
116900000000,25.864723331777252,16.999167325194943,-0.0010461428008256488,2.838191670556869,0.0020816870126427744,2.8381879397360983,0.010101678230927695,-5.676383341113738,-0.004163374025285549,11,33
117000000000,25.96472353877896,16.999694783276755,0.00021800207734365396,2.5881911530526036,0.0007630418081117085,2.5881912578955317,0.00039762149304240044,-5.176382306105207,-0.001526083616223417,11,33
