time,x,y,theta,Vx,Vy,Vlin,Vang,cur_cell,is_go_to_base,is_tangent_movement,is_vertical_movement,is_up,is_down,is_go_to_next_cell
411100000000,10.509491525414594,-22.19174947487915,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411100000000,10.509491525414594,-22.19174947487915,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411200000000,10.509491525414594,-22.091749474879148,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411200000000,10.509491525414594,-22.091749474879148,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411300000000,10.509491525414594,-21.991749474879146,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411300000000,10.509491525414594,-21.991749474879146,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411400000000,10.509491525414594,-21.891749474879145,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411400000000,10.509491525414594,-21.891749474879145,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411500000000,10.509491525414594,-21.791749474879143,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411500000000,10.509491525414594,-21.791749474879143,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411600000000,10.509491525414594,-21.691749474879142,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411600000000,10.509491525414594,-21.691749474879142,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411700000000,10.509491525414594,-21.59174947487914,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411700000000,10.509491525414594,-21.59174947487914,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411800000000,10.509491525414594,-21.49174947487914,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411800000000,10.509491525414594,-21.49174947487914,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411900000000,10.509491525414594,-21.391749474879138,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
411900000000,10.509491525414594,-21.391749474879138,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412000000000,10.509491525414594,-21.291749474879136,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412000000000,10.509491525414594,-21.291749474879136,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412100000000,10.509491525414594,-21.191749474879135,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412100000000,10.509491525414594,-21.191749474879135,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412200000000,10.509491525414594,-21.091749474879133,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412200000000,10.509491525414594,-21.091749474879133,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412300000000,10.509491525414594,-20.991749474879132,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412300000000,10.509491525414594,-20.991749474879132,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412400000000,10.509491525414594,-20.89174947487913,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412400000000,10.509491525414594,-20.89174947487913,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412500000000,10.509491525414594,-20.79174947487913,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412500000000,10.509491525414594,-20.79174947487913,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412600000000,10.509491525414594,-20.691749474879128,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412600000000,10.509491525414594,-20.691749474879128,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412700000000,10.509491525414594,-20.591749474879126,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412700000000,10.509491525414594,-20.591749474879126,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412800000000,10.509491525414594,-20.491749474879125,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412800000000,10.509491525414594,-20.491749474879125,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
412900000000,10.509491525414594,-20.391749474879123,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
