time,x,y,theta,Vx,Vy,Vlin,Vang,targ_x,targ_y
164000000000,27.693388423575158,16.216823107607794,0.0,0.07079917988741258,0.7650808868484589,0.07079917988741258,0.0,27.834986783349983,17.746984881304712
164000000000,27.693388423575158,16.216823107607794,0.0,0.07079917988741258,0.7650808868484589,0.07079917988741258,0.0,27.834986783349983,17.746984881304712
164100000000,27.700862891870774,16.297594843462765,0.0,0.06706194573960467,0.7246950189209738,0.06706194573960467,0.0,27.834986783349983,17.746984881304712
164100000000,27.700862891870774,16.297594843462765,0.0,0.06706194573960467,0.7246950189209738,0.06706194573960467,0.0,27.834986783349983,17.746984881304712
164200000000,27.707942809859514,16.37410293214761,0.0,0.06352198674523457,0.6864409745785505,0.06352198674523457,0.0,27.834986783349983,17.746984881304712
164200000000,27.707942809859514,16.37410293214761,0.0,0.06352198674523457,0.6864409745785505,0.06352198674523457,0.0,27.834986783349983,17.746984881304712
164300000000,27.714649004433475,16.44657243403971,0.0,0.060168889458253716,0.6502062236325017,0.060168889458253716,0.0,27.834986783349983,17.746984881304712
164300000000,27.714649004433475,16.44657243403971,0.0,0.060168889458253716,0.6502062236325017,0.060168889458253716,0.0,27.834986783349983,17.746984881304712
164400000000,27.721001203108,16.515216531497565,0.0,0.0569927901209919,0.6158841749035737,0.0569927901209919,0.0,27.834986783349983,17.746984881304712
164400000000,27.721001203108,16.515216531497565,0.0,0.0569927901209919,0.6158841749035737,0.0569927901209919,0.0,27.834986783349983,17.746984881304712
164500000000,27.727018092053825,16.580237153860814,0.0,0.05398434564807886,0.583373863721949,0.05398434564807886,0.0,27.834986783349983,17.746984881304712
164500000000,27.727018092053825,16.580237153860814,0.0,0.05398434564807886,0.583373863721949,0.05398434564807886,0.0,27.834986783349983,17.746984881304712
164600000000,27.732717371065924,16.64182557135117,0.0,0.05113470614202953,0.5525796549767712,0.05113470614202953,0.0,27.834986783349983,17.746984881304712
164600000000,27.732717371065924,16.64182557135117,0.0,0.05113470614202953,0.5525796549767712,0.05113470614202953,0.0,27.834986783349983,17.746984881304712
